G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,,,,,,
1300,700,700,1300,900,600,800,900,700,700,600,700,1100,600,500,700,700,800,,,,,,,
M01,M02,M03,M04,M05,M06,M07,M08,M09,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25
1500,1200,900,1000,1100,1100,800,300,700,900,1000,1300,900,700,1000,1100,600,900,800,800,800,1800,1200,1800,
H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21
1000,1500,1700,1500,1300,1200,400,877,123,1000,500,900,600,900,1000,500,1200,1200,800,2100
T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,,
2000,1900,1700,1200,1200,700,1000,1000,800,500,1800,1100,900,1200,2700,1200,1900,1200,1500,1300,2100,1900,,,
C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,,,,,
1000,1200,900,1400,1100,800,800,800,700,700,1300,1200,1200,1000,900,1700,2600,2600,2100,,,,,,
Y01,Y02,Y03,Y04,Y05,Y06,Y07,Y08,Y09,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,
2200,1400,1800,1400,1500,1000,1000,1200,900,1100,1300,1600,1100,900,900,900,1000,500,700,1300,1400,1700,1500,,
Mb03,Mb04,Mb05,M06,Mb7
1300,600,1300,9001
Z01,Z02,Z03,Z04,Z05,Z06,Z07,Z08,Z09,Z10,Z11,Z12,Z13,Z14,,,,,,,,,,,
1300,1400,1400,1000,1600,400,1700,700,1300,1700,1900,1000,1400,,,,,,,,,,,,
N01,N02,N03,N04,N05,N06,N07,N08,N09,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,,,,,,
1300,1000,1300,1200,900,900,1300,1000,1100,1400,1300,900,1400,1400,1000,1200,1600,1100,,,,,,,
F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,F13,F14,F15,F16,F17
2200,1400,1800,1400,1500,1100,1000,900,1800,1500,900,1100,1400,1200,1000,899
