G01,Shibuya
G02,Omote-sando
G03,Gaiemmae
G04,Aoyama-itchome
G05,Akasaka-mitsuke
G06,Tameike-sanno
G07,Toranomon
G08,Shimbashi
G09,Ginza
G10,Kyobashi
G11,Nihombashi
G12,Mitsukoshimae
G13,Kanda
G14,Suehirocho
G15,Ueno-hirokoji
G16,Ueno
G17,Inaricho
G18,Tawaranmachi
G19,Asakusa
Mb03,Honancho
Mb04,Nakano-fujimicho
Mb05,Nakano-shimbashi
M01,Ogikubo
M02,Minami-asagaya
M03,Shin-koenji
M04,Higashi-koenji
M05,Shin-nakano
M06,Nakano-sakaue
M07,Nishi-shinjuku
M08,Shinjuku
M09,Shinjuku-sanchome
M10,Shinjuku-gyoemmae
M11,Yotsuya-sanchome
M12,Yotsuya
M13,Akasaka-mitsuke
M14,Kokkai-gijidomae
M15,Kasumigaseki
M16,Ginza
M17,Tokyo
M18,Otemachi
M19,Awajicho
M20,Ochanomizu
M21,Hongo-sanchome
M22,Korakuen
M23,Myogadani
M24,Shin-otsuka
M25,Ikebukuro
H01,Naka-meguro
H02,Ebisu
H03,Hiro-o
H04,Roppongi
H05,Kamiyacho
H06,Kasumigaseki
H07,Hibiya
H08,Ginza
H09,Tokyo
H10,Tsukiji
H11,Hatchobori
H12,Kayabacho
H13,Ningyocho
H14,Kodemmacho
H15,Akihabara
H16,Naka-okachimachi
H17,Ueno
H18,Iriya
H19,Minowa
H20,Minami-senju
H21,Kita-senju
T01,Nakano
T02,Ochiai
T03,Takadanobaba
T04,Waseda
T05,Kagurazaka
T06,Iidabashi
T07,Kudanshita
T08,Takebashi
T09,Otemachi
T10,Nihombashi
T11,Kayabacho
T12,Monzen-nakacho
T13,Kiba
T14,Toyocho
T15,Minami-sunamachi
T16,Nishi-kasai
T17,Kasai
T18,Urayasu
T19,Minami-gyotoku
T20,Gyotoku
T21,Myoden
T22,Baraki-nakayama
T23,Nishi-funabashi
C01,Yoyogi-uehara
C02,Yoyogi-koen
C03,Meiji-jingumae
C04,Omote-sando
C05,Nogizaka
C06,Akasaka
C07,Kokkai-gijidomae
C08,Kasumigaseki
C09,Hibiya
C10,Nijubashimae
C11,Otemachi
C12,Shin-ochanomizu
C13,Yushima
C14,Nezu
C15,Sendagi
C16,Nishi-nippori
C17,Machiya
C18,Kita-senju
C19,Ayase
C20,Kita-ayase
Y01,Wakoshi
Y02,Chikatetsu-narimasu
Y03,Chikatetsu-akatsuka
Y04,Heiwadai
Y05,Hikawadai
Y06,Kotake-mukaihara
Y07,Senkawa
Y08,Kanamecho
Y09,Ikebukuro
Y10,Higashi-ikebukuro
Y11,Gokokuji
Y12,Edogawabashi
Y13,Iidabashi
Y14,Ichigaya
Y15,Kojimachi
Y16,Nagatacho
Y17,Sakuradamon
Y18,Yurakucho
Y19,Ginza-itchome
Y20,Shintomicho
Y21,Tsukishima
Y22,Toyosu
Y23,Tatsumi
Y24,Shin-kiba
Z01,Shibuya
Z02,Omote-sando
Z03,Aoyama-itchome
Z04,Nagatacho
Z05,Hanzomon
Z06,Kudanshita
Z07,Jimbocho
Z08,Otemachi
Z09,Mitsukoshimae
Z10,Suitengumae
Z11,Kiyosumi-shirakawa
Z12,Sumiyoshi
Z13,Kinshicho
Z14,Oshiage
N01,Meguro
N02,Shirokanedai
N03,Shirokane-takanawa
N04,Azabu-juban
N05,Roppongi-itchome
N06,Tameike-sanno
N07,Nagatc
N08,Yotsuya
N09,Ichigaya
N10,Iidabashi
N11,Korakuen
N12,Todaimae
N13,Hon-komagome
N14,Komagome
N15,Nishigahara
N16,Oji
N17,Oji-kamiya
N18,Shimo
N19,Akabane-iwabuchi
F01,Wakoshi
F02,Chikatetsu-narimasu
F03,Chikatetsu-akatsuka
F04,Heiwadai
F05,Hikawadai
F06,Kotake-mukaihara
F07,Senkawa
F08,Kanamecho
F09,Ikebukuro
F10,Zoshigaya
F11,Nishi-waseda
F12,Higashi-shinjuku
F13,Shinjuku-sanchome
F14,Kita-sando
F15,Meiji-jingumae
F16,Shibuya
F17,Nagatacho
